asset,minute,spread_bps,best_bid_changed,best_ask_changed,book_state_changed,quote_updates,informed_share,informed_ratio,n_takers,n_classified,spread_lag1,informed_share_lag1,quote_updates_lag1,spread_lead1,informed_share_lead1,spread_lag2,informed_share_lag2,quote_updates_lag2,spread_lead2,informed_share_lead2,spread_lag3,informed_share_lag3,quote_updates_lag3,spread_lead3,informed_share_lead3,spread_lag4,informed_share_lag4,quote_updates_lag4,spread_lead4,informed_share_lead4,spread_lag5,informed_share_lag5,quote_updates_lag5,spread_lead5,informed_share_lead5,spread_change,informed_share_change,date,hour,minute_of_hour,is_outage,is_outage_day
SOL,2025-07-29 13:49:00+00:00,0.5439364682200172,45,46,108,91,1.0,,90,2,0.5435225697757603,1.0,100.0,0.5456877029271182,0.9411764705882353,0.5430208248481391,1.0,86.0,0.5458664264849425,1.0,0.5433453774902511,1.0,95.0,0.5458068389591957,1.0,0.5435225697757603,0.6666666666666666,96.0,0.5460452671521504,1.0,0.5439660565175785,1.0,95.0,0.5464630181147521,0.8888888888888888,0.00041389844425687716,0.0,2025-07-29,13,49,False,True
SOL,2025-07-29 13:50:00+00:00,0.5456877029271182,49,50,108,99,0.9411764705882353,16.0,445,68,0.5439364682200172,1.0,91.0,0.5458664264849425,1.0,0.5435225697757603,1.0,100.0,0.5458068389591957,1.0,0.5430208248481391,1.0,86.0,0.5460452671521504,1.0,0.5433453774902511,1.0,95.0,0.5464630181147521,0.8888888888888888,0.5435225697757603,0.6666666666666666,96.0,0.5475101973784844,0.6842105263157895,0.0017512347071010348,-0.05882352941176472,2025-07-29,13,50,False,True
SOL,2025-07-29 13:51:00+00:00,0.5458664264849425,37,39,108,76,1.0,,137,23,0.5456877029271182,0.9411764705882353,99.0,0.5458068389591957,1.0,0.5439364682200172,1.0,91.0,0.5460452671521504,1.0,0.5435225697757603,1.0,100.0,0.5464630181147521,0.8888888888888888,0.5430208248481391,1.0,86.0,0.5475101973784844,0.6842105263157895,0.5433453774902511,1.0,95.0,0.5474502504579918,0.7142857142857143,0.00017872355782433402,0.05882352941176472,2025-07-29,13,51,False,True
SOL,2025-07-29 13:52:00+00:00,0.5458068389591957,48,48,112,96,1.0,,131,1,0.5458664264849425,1.0,76.0,0.5460452671521504,1.0,0.5456877029271182,0.9411764705882353,99.0,0.5464630181147521,0.8888888888888888,0.5439364682200172,1.0,91.0,0.5475101973784844,0.6842105263157895,0.5435225697757603,1.0,100.0,0.5474502504579918,0.7142857142857143,0.5430208248481391,1.0,86.0,0.548050311018053,0.7575757575757576,-5.9587525746862546e-05,0.0,2025-07-29,13,52,False,True
SOL,2025-07-29 13:53:00+00:00,0.5460452671521504,48,54,110,102,1.0,,158,25,0.5458068389591957,1.0,96.0,0.5464630181147521,0.8888888888888888,0.5458664264849425,1.0,76.0,0.5475101973784844,0.6842105263157895,0.5456877029271182,0.9411764705882353,99.0,0.5474502504579918,0.7142857142857143,0.5439364682200172,1.0,91.0,0.548050311018053,0.7575757575757576,0.5435225697757603,1.0,100.0,0.5476301306108445,1.0,0.0002384281929547205,0.0,2025-07-29,13,53,False,True
SOL,2025-07-29 13:54:00+00:00,0.5464630181147521,48,45,110,93,0.8888888888888888,8.0,306,9,0.5460452671521504,1.0,102.0,0.5475101973784844,0.6842105263157895,0.5458068389591957,1.0,96.0,0.5474502504579918,0.7142857142857143,0.5458664264849425,1.0,76.0,0.548050311018053,0.7575757575757576,0.5456877029271182,0.9411764705882353,99.0,0.5476301306108445,1.0,0.5439364682200172,1.0,91.0,0.5475701574259223,1.0,0.00041775096260165956,-0.11111111111111116,2025-07-29,13,54,False,True
SOL,2025-07-29 13:55:00+00:00,0.5475101973784844,37,38,109,75,0.6842105263157895,2.1666666666666665,306,19,0.5464630181147521,0.8888888888888888,93.0,0.5474502504579918,0.7142857142857143,0.5460452671521504,1.0,102.0,0.548050311018053,0.7575757575757576,0.5458068389591957,1.0,96.0,0.5476301306108445,1.0,0.5458664264849425,1.0,76.0,0.5475701574259223,1.0,0.5456877029271182,0.9411764705882353,99.0,0.5478701547728204,0.9166666666666666,0.001047179263732323,-0.20467836257309935,2025-07-29,13,55,False,True
SOL,2025-07-29 13:56:00+00:00,0.5474502504579918,31,29,108,60,0.7142857142857143,2.5,103,14,0.5475101973784844,0.6842105263157895,75.0,0.548050311018053,0.7575757575757576,0.5464630181147521,0.8888888888888888,93.0,0.5476301306108445,1.0,0.5460452671521504,1.0,102.0,0.5475701574259223,1.0,0.5458068389591957,1.0,96.0,0.5478701547728204,0.9166666666666666,0.5458664264849425,1.0,76.0,0.548757075575595,0.6774193548387096,-5.994692049260397e-05,0.03007518796992481,2025-07-29,13,56,False,True
SOL,2025-07-29 13:57:00+00:00,0.548050311018053,52,49,108,101,0.7575757575757576,3.125,366,33,0.5474502504579918,0.7142857142857143,60.0,0.5476301306108445,1.0,0.5475101973784844,0.6842105263157895,75.0,0.5475701574259223,1.0,0.5464630181147521,0.8888888888888888,93.0,0.5478701547728204,0.9166666666666666,0.5460452671521504,1.0,102.0,0.548757075575595,0.6774193548387096,0.5458068389591957,1.0,96.0,0.5491638979648483,0.9148936170212766,0.000600060560061233,0.04329004329004327,2025-07-29,13,57,False,True
SOL,2025-07-29 13:58:00+00:00,0.5476301306108445,34,38,110,72,1.0,,85,19,0.548050311018053,0.7575757575757576,101.0,0.5475701574259223,1.0,0.5474502504579918,0.7142857142857143,60.0,0.5478701547728204,0.9166666666666666,0.5475101973784844,0.6842105263157895,75.0,0.548757075575595,0.6774193548387096,0.5464630181147521,0.8888888888888888,93.0,0.5491638979648483,0.9148936170212766,0.5460452671521504,1.0,102.0,0.5500701339431407,0.7857142857142857,-0.0004201804072084814,0.24242424242424243,2025-07-29,13,58,False,True
SOL,2025-07-29 13:59:00+00:00,0.5475701574259223,26,26,101,52,1.0,,160,22,0.5476301306108445,1.0,72.0,0.5478701547728204,0.9166666666666666,0.548050311018053,0.7575757575757576,101.0,0.548757075575595,0.6774193548387096,0.5474502504579918,0.7142857142857143,60.0,0.5491638979648483,0.9148936170212766,0.5475101973784844,0.6842105263157895,75.0,0.5500701339431407,0.7857142857142857,0.5464630181147521,0.8888888888888888,93.0,0.5509186568613794,0.8548387096774194,-5.9973184922235134e-05,0.0,2025-07-29,13,59,False,True
SOL,2025-07-29 14:00:00+00:00,0.5478701547728204,37,36,106,73,0.9166666666666666,11.0,237,48,0.5475701574259223,1.0,52.0,0.548757075575595,0.6774193548387096,0.5476301306108445,1.0,72.0,0.5491638979648483,0.9148936170212766,0.548050311018053,0.7575757575757576,101.0,0.5500701339431407,0.7857142857142857,0.5474502504579918,0.7142857142857143,60.0,0.5509186568613794,0.8548387096774194,0.5475101973784844,0.6842105263157895,75.0,0.5519220686034112,0.965034965034965,0.00029999734689811763,-0.08333333333333337,2025-07-29,14,0,False,True
SOL,2025-07-29 14:01:00+00:00,0.548757075575595,39,45,109,84,0.6774193548387096,2.1,500,62,0.5478701547728204,0.9166666666666666,73.0,0.5491638979648483,0.9148936170212766,0.5475701574259223,1.0,52.0,0.5500701339431407,0.7857142857142857,0.5476301306108445,1.0,72.0,0.5509186568613794,0.8548387096774194,0.548050311018053,0.7575757575757576,101.0,0.5519220686034112,0.965034965034965,0.5474502504579918,0.7142857142857143,60.0,0.5527304890361978,0.6022727272727273,0.0008869208027746378,-0.239247311827957,2025-07-29,14,1,False,True
SOL,2025-07-29 14:02:00+00:00,0.5491638979648483,51,53,108,104,0.9148936170212766,10.75,138,47,0.548757075575595,0.6774193548387096,84.0,0.5500701339431407,0.7857142857142857,0.5478701547728204,0.9166666666666666,73.0,0.5509186568613794,0.8548387096774194,0.5475701574259223,1.0,52.0,0.5519220686034112,0.965034965034965,0.5476301306108445,1.0,72.0,0.5527304890361978,0.6022727272727273,0.548050311018053,0.7575757575757576,101.0,1.105155550642748,0.8352941176470589,0.00040682238925326963,0.23747426218256695,2025-07-29,14,2,False,True
SOL,2025-07-29 14:03:00+00:00,0.5500701339431407,43,41,109,84,0.7857142857142857,3.6666666666666665,307,14,0.5491638979648483,0.9148936170212766,104.0,0.5509186568613794,0.8548387096774194,0.548757075575595,0.6774193548387096,84.0,0.5519220686034112,0.965034965034965,0.5478701547728204,0.9166666666666666,73.0,0.5527304890361978,0.6022727272727273,0.5475701574259223,1.0,52.0,1.105155550642748,0.8352941176470589,0.5476301306108445,1.0,72.0,0.5525930428530879,0.9833333333333333,0.0009062359782924245,-0.12917933130699089,2025-07-29,14,3,False,True
SOL,2025-07-29 14:04:00+00:00,0.5509186568613794,43,44,106,87,0.8548387096774194,5.888888888888889,585,62,0.5500701339431407,0.7857142857142857,84.0,0.5519220686034112,0.965034965034965,0.5491638979648483,0.9148936170212766,104.0,0.5527304890361978,0.6022727272727273,0.548757075575595,0.6774193548387096,84.0,1.105155550642748,0.8352941176470589,0.5478701547728204,0.9166666666666666,73.0,0.5525930428530879,0.9833333333333333,0.5475701574259223,1.0,52.0,0.5526235804492458,1.0,0.00084852291823867,0.06912442396313367,2025-07-29,14,4,False,True
SOL,2025-07-29 14:05:00+00:00,0.5519220686034112,40,39,109,79,0.965034965034965,27.6,781,143,0.5509186568613794,0.8548387096774194,87.0,0.5527304890361978,0.6022727272727273,0.5500701339431407,0.7857142857142857,84.0,1.105155550642748,0.8352941176470589,0.5491638979648483,0.9148936170212766,104.0,0.5525930428530879,0.9833333333333333,0.548757075575595,0.6774193548387096,84.0,0.5526235804492458,1.0,0.5478701547728204,0.9166666666666666,73.0,1.104850292785893,1.0,0.001003411742031779,0.11019625535754562,2025-07-29,14,5,False,True
SOL,2025-07-29 14:06:00+00:00,0.5527304890361978,26,18,89,44,0.6022727272727273,1.5142857142857142,493,88,0.5519220686034112,0.965034965034965,79.0,1.105155550642748,0.8352941176470589,0.5509186568613794,0.8548387096774194,87.0,0.5525930428530879,0.9833333333333333,0.5500701339431407,0.7857142857142857,84.0,0.5526235804492458,1.0,0.5491638979648483,0.9148936170212766,104.0,1.104850292785893,1.0,0.548757075575595,0.6774193548387096,84.0,1.10503342726174,0.3,0.0008084204327866162,-0.3627622377622377,2025-07-29,14,6,False,True
SOL,2025-07-29 14:07:00+00:00,1.105155550642748,21,15,78,36,0.8352941176470589,5.071428571428571,330,85,0.5527304890361978,0.6022727272727273,44.0,0.5525930428530879,0.9833333333333333,0.5519220686034112,0.965034965034965,79.0,0.5526235804492458,1.0,0.5509186568613794,0.8548387096774194,87.0,1.104850292785893,1.0,0.5500701339431407,0.7857142857142857,84.0,1.10503342726174,0.3,0.5491638979648483,0.9148936170212766,104.0,0.8286148941675646,1.0,0.5524250616065501,0.23302139037433156,2025-07-29,14,7,False,True
SOL,2025-07-29 14:08:00+00:00,0.5525930428530879,10,18,57,28,0.9833333333333333,59.0,225,60,1.105155550642748,0.8352941176470589,36.0,0.5526235804492458,1.0,0.5527304890361978,0.6022727272727273,44.0,1.104850292785893,1.0,0.5519220686034112,0.965034965034965,79.0,1.10503342726174,0.3,0.5509186568613794,0.8548387096774194,87.0,0.8286148941675646,1.0,0.5500701339431407,0.7857142857142857,84.0,2.7632706070911808,1.0,-0.5525625077896601,0.14803921568627443,2025-07-29,14,8,False,True
SOL,2025-07-29 14:09:00+00:00,0.5526235804492458,0,10,67,10,1.0,,75,28,0.5525930428530879,0.9833333333333333,28.0,1.104850292785893,1.0,1.105155550642748,0.8352941176470589,36.0,1.10503342726174,0.3,0.5527304890361978,0.6022727272727273,44.0,0.8286148941675646,1.0,0.5519220686034112,0.965034965034965,79.0,2.7632706070911808,1.0,0.5509186568613794,0.8548387096774194,87.0,2.2106775726771564,0.4230769230769231,3.053759615789797e-05,0.01666666666666672,2025-07-29,14,9,False,True
SOL,2025-07-29 14:10:00+00:00,1.104850292785893,8,17,55,25,1.0,,130,21,0.5526235804492458,1.0,10.0,1.10503342726174,0.3,0.5525930428530879,0.9833333333333333,28.0,0.8286148941675646,1.0,1.105155550642748,0.8352941176470589,36.0,2.7632706070911808,1.0,0.5527304890361978,0.6022727272727273,44.0,2.2106775726771564,0.4230769230769231,0.5519220686034112,0.965034965034965,79.0,1.10503342726174,1.0,0.5522267123366472,0.0,2025-07-29,14,10,True,True
