coin,wallet,n_fills,tob_fills,tob_rate,volume,mpsc,outage_fills,outage_tob_fills,outage_tob_rate,withdrew
BTC,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,49,0,0.0,50.0,0.0,0.0,0.0,,True
BTC,0x48416d993c56ec3995f9cfe517b72094c107e514,1,1,1.0,0.0196,0.00016051364365971107,0.0,0.0,,True
BTC,0x492322b1fca1ab301a103b716a243b20cb3001aa,150,73,0.4866666666666667,0.23383,0.011717495987158908,0.0,0.0,,True
BTC,0x493bf04e4045dc1dfc497e145820ff82b7680fa0,1,1,1.0,0.00044,0.00016051364365971107,0.0,0.0,,True
BTC,0x49ba9baa20d355ba042af2be9772d2b2cd892f44,23,7,0.30434782608695654,38.28767,0.0011235955056179776,0.0,0.0,,True
BTC,0x4a207d289fd49e60502451099771127bcf35b961,5,0,0.0,3.38568,0.0,0.0,0.0,,True
BTC,0x4a60a9c7b33b8dfb2f74da3436ff72505baa8814,4,1,0.25,0.5,0.00016051364365971107,0.0,0.0,,True
BTC,0x4adea79bf2102bda1c5cbba36ab3932c23f88a74,2,0,0.0,0.01,0.0,0.0,0.0,,True
BTC,0x4c567436612c90e37e02a1c05b72c834888ba6c7,4437,1659,0.37390128465179173,0.48098,0.2662921348314607,1563.0,160.0,0.10236724248240563,False
BTC,0x4cf61b724d34c7e4f217489a523c114818d2897b,1,1,1.0,0.00842,0.00016051364365971107,1.0,0.0,0.0,False
BTC,0x4d1189018af04b703d37b8e017a710f12428bf89,3,0,0.0,0.02101,0.0,0.0,0.0,,True
BTC,0x4d969e59b312970cc07af266938a4433ccae0b4c,32,18,0.5625,7.4830700000000006,0.0028892455858747996,180.0,57.0,0.31666666666666665,False
BTC,0x4ef1c5ae65ab5b37629b7aa523e7e95e7da528e3,181,53,0.292817679558011,6.87974,0.008507223113964686,9.0,0.0,0.0,False
BTC,0x4f0ceefdebeeec9bca9133425d773376ce5e583a,2,2,1.0,0.02005,0.00032102728731942215,0.0,0.0,,True
BTC,0x4f7f7577d3f6e4c267a8e46b1822165d16fef50c,1,1,1.0,0.00841,0.00016051364365971107,0.0,0.0,,True
BTC,0x4fb31d5ffaa08be2128cb14485584d76eebef173,59,42,0.711864406779661,9.24819,0.006741573033707865,47.0,24.0,0.5106382978723404,False
BTC,0x4fc40d4e0cda3df82585f058fc5203f28f450fd7,25,14,0.56,1.05,0.0022471910112359553,0.0,0.0,,True
BTC,0x50b3374a0fe9ae8b0c30f1af024d1b0842eeb398,1,1,1.0,0.0055,0.00016051364365971107,0.0,0.0,,True
BTC,0x5108cd0a328ed28c277f958761fe1cda60c21aa8,1,1,1.0,1.0,0.00016051364365971107,0.0,0.0,,True
BTC,0x53ac3da992efb3785a615f281380ed7e591fbe79,3,3,1.0,0.11399999999999999,0.0004815409309791332,6.0,0.0,0.0,False
BTC,0x53e87a2531f11ecb58eb53281c93f9fba5cd5e68,12,8,0.6666666666666666,0.67034,0.0012841091492776886,0.0,0.0,,True
BTC,0x54e3f54df4b10ff63f7284733ed735e8e1507c20,151,119,0.7880794701986755,22.9454,0.019101123595505618,73.0,0.0,0.0,False
BTC,0x54f9524155c82f1f3f2c5e086ba513df442a18ef,6,3,0.5,0.07578,0.0004815409309791332,41.0,8.0,0.1951219512195122,False
BTC,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,89,53,0.5955056179775281,3.14794,0.008507223113964686,0.0,0.0,,True
BTC,0x557dd46ee1071247c71672aad915921222f4c3ce,2,0,0.0,0.033670000000000005,0.0,26.0,4.0,0.15384615384615385,False
BTC,0x56b399c897f2054864c3db312b9167de5ad1545b,2,1,0.5,0.00059,0.00016051364365971107,0.0,0.0,,True
BTC,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,336,124,0.36904761904761907,39.73218,0.019903691813804174,0.0,0.0,,True
BTC,0x58826bee2495ac7845532da53674167d4323b7ae,2,0,0.0,0.0071200000000000005,0.0,0.0,0.0,,True
BTC,0x58ec8444d7685d46b0894fe49f00dea687746880,9,0,0.0,1.20074,0.0,42.0,0.0,0.0,False
BTC,0x5ade8fc6abec1e673ca8abaa95ee09bdfbe44dd5,5,1,0.2,0.00112,0.00016051364365971107,2.0,0.0,0.0,False
BTC,0x5c9c9ab381c841530464ef9ee402568f84c3b676,13,9,0.6923076923076923,6.34651,0.0014446227929373998,0.0,0.0,,True
BTC,0x5d510582063ed6c342d27d7746f551631ef68432,2,2,1.0,0.076,0.00032102728731942215,4.0,0.0,0.0,False
BTC,0x5e4480f92523b6b0f3e293e6c942b18d45ada74b,1,1,1.0,0.0529,0.00016051364365971107,0.0,0.0,,True
BTC,0x60dc4008177510ef8a67558e7334d5800c092230,3,3,1.0,0.5,0.0004815409309791332,0.0,0.0,,True
BTC,0x61350ec4b65c3d7e94a044bc3b1626f3e3548a12,1,1,1.0,0.04201,0.00016051364365971107,0.0,0.0,,True
BTC,0x63416345f6396413426765c9aad0373e411fe24d,19,2,0.10526315789473684,0.85693,0.00032102728731942215,0.0,0.0,,True
BTC,0x635b006a1d6a77fb4d7485dfb3242085fb9dee85,1,1,1.0,0.00425,0.00016051364365971107,0.0,0.0,,True
BTC,0x64229acf5cb05b5a1d213f99c7902b8533ff1b23,2,0,0.0,0.0002,0.0,0.0,0.0,,True
BTC,0x644f7170fae9d4d173d9217f03b7a77e22ed98f1,1,0,0.0,0.02577,0.0,0.0,0.0,,True
BTC,0x64f137f0c62f570be05738bbe15aaff7b7b8edad,2,0,0.0,0.44143,0.0,0.0,0.0,,True
BTC,0x64f33c575a1040847a79e1af2d93073903b4cafe,6,6,1.0,0.28275,0.0009630818619582664,0.0,0.0,,True
BTC,0x654086857e1fad6dcf05cf6695cce51ea3984268,60,32,0.5333333333333333,14.98384,0.005136436597110754,144.0,16.0,0.1111111111111111,False
