asset,time,spread,bid_updates,ask_updates,quote_updates,ratio,log_ratio,n_informed,n_uninformed,n_total,spread_lag1,spread_lead1,ratio_lag1,ratio_lead1,log_ratio_lag1,spread_lag2,spread_lead2,ratio_lag2,ratio_lead2,log_ratio_lag2,spread_lag3,spread_lead3,ratio_lag3,ratio_lead3,log_ratio_lag3,spread_lag4,spread_lead4,ratio_lag4,ratio_lead4,log_ratio_lag4,spread_lag5,spread_lead5,ratio_lag5,ratio_lead5,log_ratio_lag5,spread_lag6,spread_lead6,ratio_lag6,ratio_lead6,log_ratio_lag6,d_spread,d_ratio,d_log_ratio,minute,is_outage
ARB,2025-07-29 13:30:00+00:00,3.634298695798848,50,35,85,1.0,0.0,0,0,1,3.8649100271681234,2.2756753066469972,1.0,1.0,0.0,3.858856643475774,3.4116108559813307,1.0,1.0,0.0,4.541016733646163,2.5069225455321265,1.0,1.0,0.0,3.8606092949846937,2.2803457004091965,1.0,11.0,0.0,4.085987333439572,2.2794100886688016,1.0,1.0,0.0,3.1749631477498355,2.5045252217073806,1.0,1.0,0.0,-0.23061133136927525,0.0,0.0,810,False
ARB,2025-07-29 13:31:00+00:00,2.2756753066469972,41,40,81,1.0,0.0,0,0,4,3.634298695798848,3.4116108559813307,1.0,1.0,0.0,3.8649100271681234,2.5069225455321265,1.0,1.0,0.0,3.858856643475774,2.2803457004091965,1.0,11.0,0.0,4.541016733646163,2.2794100886688016,1.0,1.0,0.0,3.8606092949846937,2.5045252217073806,1.0,1.0,0.0,4.085987333439572,3.1883397859264173,1.0,1.0,0.0,-1.3586233891518509,0.0,0.0,811,False
ARB,2025-07-29 13:31:30+00:00,3.4116108559813307,39,37,76,1.0,0.0,0,0,2,2.2756753066469972,2.5069225455321265,1.0,1.0,0.0,3.634298695798848,2.2803457004091965,1.0,11.0,0.0,3.8649100271681234,2.2794100886688016,1.0,1.0,0.0,3.858856643475774,2.5045252217073806,1.0,1.0,0.0,4.541016733646163,3.1883397859264173,1.0,1.0,0.0,3.8606092949846937,3.6427798968809917,1.0,1.0,0.0,1.1359355493343335,0.0,0.0,811,False
ARB,2025-07-29 13:32:00+00:00,2.5069225455321265,34,41,75,1.0,0.0,0,0,1,3.4116108559813307,2.2803457004091965,1.0,11.0,0.0,2.2756753066469972,2.2794100886688016,1.0,1.0,0.0,3.634298695798848,2.5045252217073806,1.0,1.0,0.0,3.8649100271681234,3.1883397859264173,1.0,1.0,0.0,3.858856643475774,3.6427798968809917,1.0,1.0,0.0,4.541016733646163,3.190410541198177,1.0,1.0,0.0,-0.9046883104492043,0.0,0.0,812,False
ARB,2025-07-29 13:32:30+00:00,2.2803457004091965,44,40,84,11.0,2.3978952727983707,1,0,6,2.5069225455321265,2.2794100886688016,1.0,1.0,0.0,3.4116108559813307,2.5045252217073806,1.0,1.0,0.0,2.2756753066469972,3.1883397859264173,1.0,1.0,0.0,3.634298695798848,3.6427798968809917,1.0,1.0,0.0,3.8649100271681234,3.190410541198177,1.0,1.0,0.0,3.858856643475774,3.528590612578043,1.0,1.0,0.0,-0.22657684512292997,10.0,2.3978952727983707,812,False
ARB,2025-07-29 13:33:00+00:00,2.2794100886688016,35,29,64,1.0,0.0,0,0,1,2.2803457004091965,2.5045252217073806,11.0,1.0,2.3978952727983707,2.5069225455321265,3.1883397859264173,1.0,1.0,0.0,3.4116108559813307,3.6427798968809917,1.0,1.0,0.0,2.2756753066469972,3.190410541198177,1.0,1.0,0.0,3.634298695798848,3.528590612578043,1.0,1.0,0.0,3.8649100271681234,2.393858646044319,1.0,1.0,0.0,-0.0009356117403949149,-10.0,-2.3978952727983707,813,False
ARB,2025-07-29 13:33:30+00:00,2.5045252217073806,38,29,67,1.0,0.0,0,0,2,2.2794100886688016,3.1883397859264173,1.0,1.0,0.0,2.2803457004091965,3.6427798968809917,11.0,1.0,2.3978952727983707,2.5069225455321265,3.190410541198177,1.0,1.0,0.0,3.4116108559813307,3.528590612578043,1.0,1.0,0.0,2.2756753066469972,2.393858646044319,1.0,1.0,0.0,3.634298695798848,2.963131802382335,1.0,0.09090909090909091,0.0,0.225115133038579,0.0,0.0,813,False
ARB,2025-07-29 13:35:00+00:00,3.1883397859264173,41,37,78,1.0,0.0,0,0,2,2.5045252217073806,3.6427798968809917,1.0,1.0,0.0,2.2794100886688016,3.190410541198177,1.0,1.0,0.0,2.2803457004091965,3.528590612578043,11.0,1.0,2.3978952727983707,2.5069225455321265,2.393858646044319,1.0,1.0,0.0,3.4116108559813307,2.963131802382335,1.0,0.09090909090909091,0.0,2.2756753066469972,3.195617438941543,1.0,1.0,0.0,0.6838145642190367,0.0,0.0,815,False
ARB,2025-07-29 13:35:30+00:00,3.6427798968809917,39,31,70,1.0,0.0,0,0,2,3.1883397859264173,3.190410541198177,1.0,1.0,0.0,2.5045252217073806,3.528590612578043,1.0,1.0,0.0,2.2794100886688016,2.393858646044319,1.0,1.0,0.0,2.2803457004091965,2.963131802382335,11.0,0.09090909090909091,2.3978952727983707,2.5069225455321265,3.195617438941543,1.0,1.0,0.0,3.4116108559813307,2.85142202459741,1.0,1.0,0.0,0.45444011095457437,0.0,0.0,815,False
ARB,2025-07-29 13:36:00+00:00,3.190410541198177,39,32,71,1.0,0.0,0,0,1,3.6427798968809917,3.528590612578043,1.0,1.0,0.0,3.1883397859264173,2.393858646044319,1.0,1.0,0.0,2.5045252217073806,2.963131802382335,1.0,0.09090909090909091,0.0,2.2794100886688016,3.195617438941543,1.0,1.0,0.0,2.2803457004091965,2.85142202459741,11.0,1.0,2.3978952727983707,2.5069225455321265,3.6482619836180437,1.0,1.0,0.0,-0.4523693556828148,0.0,0.0,816,False
