asset,time,spread,spread_vol,bid_updates,ask_updates,depth,quote_updates,log_spread,ratio,log_ratio,informed_share,n_informed,n_uninformed,n_total,hour,minute_of_hour,is_outage,spread_lag1,log_spread_lag1,log_ratio_lag1,quote_updates_lag1,spread_lag2,log_spread_lag2,log_ratio_lag2,quote_updates_lag2,spread_lag3,log_spread_lag3,log_ratio_lag3,quote_updates_lag3,spread_lag4,log_spread_lag4,log_ratio_lag4,quote_updates_lag4,spread_lag5,log_spread_lag5,log_ratio_lag5,quote_updates_lag5,d_spread,d_log_spread,d_log_ratio,d_log_ratio_lag1,d_log_spread_lag1
ARB,2025-07-28 12:40:00+00:00,5.0991140289366745,0.9807942785022867,44,60,33157.59991960361,104,1.6310260093277515,1.0,0.0,0.0,0,0,2,12,40,False,4.25179106698768,1.449689510181898,0.0,99.0,1.9155253328220794,0.6551988306765841,0.0,100.0,4.461582587080276,1.4977423922925495,0.0,118.0,2.978184944953089,1.0946661612564,0.0,98.0,2.553463134376189,0.941359131165396,-1.0986122886681098,126.0,0.8473229619489944,0.18133649914585348,0.0,0.0,0.7944906795053139
ARB,2025-07-28 12:41:00+00:00,4.037870979396731,1.2770236527494996,36,85,35192.59702223854,121,1.3981910587985464,0.3333333333333333,-1.0986122886681098,0.0,0,1,1,12,41,False,5.0991140289366745,1.6310260093277515,0.0,104.0,4.25179106698768,1.449689510181898,0.0,99.0,1.9155253328220794,0.6551988306765841,0.0,100.0,4.461582587080276,1.4977423922925495,0.0,118.0,2.978184944953089,1.0946661612564,0.0,98.0,-1.0612430495399439,-0.2328349505292051,-1.0986122886681098,0.0,0.18133649914585348
ARB,2025-07-28 12:42:00+00:00,4.247321832157024,1.5445425902401682,36,80,41094.074862172725,116,1.4486402846830528,1.0,0.0,0.0,0,0,1,12,42,False,4.037870979396731,1.3981910587985464,-1.0986122886681098,121.0,5.0991140289366745,1.6310260093277515,0.0,104.0,4.25179106698768,1.449689510181898,0.0,99.0,1.9155253328220794,0.6551988306765841,0.0,100.0,4.461582587080276,1.4977423922925495,0.0,118.0,0.20945085276029296,0.0504492258845064,1.0986122886681098,-1.0986122886681098,-0.2328349505292051
ARB,2025-07-28 12:43:00+00:00,2.1254662744037107,1.1332725921216034,24,81,32324.462091872727,105,0.758685018341012,1.0,0.0,0.0,0,0,1,12,43,False,4.247321832157024,1.4486402846830528,0.0,116.0,4.037870979396731,1.3981910587985464,-1.0986122886681098,121.0,5.0991140289366745,1.6310260093277515,0.0,104.0,4.25179106698768,1.449689510181898,0.0,99.0,1.9155253328220794,0.6551988306765841,0.0,100.0,-2.121855557753313,-0.6899552663420409,0.0,1.0986122886681098,0.0504492258845064
ARB,2025-07-28 12:44:00+00:00,2.7649279523585686,1.1005446844649174,36,80,30607.47448572727,116,1.020624783747321,1.0,0.0,0.0,0,0,3,12,44,False,2.1254662744037107,0.758685018341012,0.0,105.0,4.247321832157024,1.4486402846830528,0.0,116.0,4.037870979396731,1.3981910587985464,-1.0986122886681098,121.0,5.0991140289366745,1.6310260093277515,0.0,104.0,4.25179106698768,1.449689510181898,0.0,99.0,0.6394616779548579,0.26193976540630903,0.0,0.0,-0.6899552663420409
ARB,2025-07-28 12:45:00+00:00,3.192814039868434,1.3054205563038126,32,83,34000.37493121101,115,1.164029810829949,1.0,0.0,0.0,0,0,4,12,45,False,2.7649279523585686,1.020624783747321,0.0,116.0,2.1254662744037107,0.758685018341012,0.0,105.0,4.247321832157024,1.4486402846830528,0.0,116.0,4.037870979396731,1.3981910587985464,-1.0986122886681098,121.0,5.0991140289366745,1.6310260093277515,0.0,104.0,0.42788608750986556,0.14340502708262792,0.0,0.0,0.26193976540630903
ARB,2025-07-28 12:46:00+00:00,3.6367914941865562,1.8622506137376427,56,59,30524.692050205358,115,1.293847738321195,0.3333333333333333,-1.0986122886681098,0.0,0,1,11,12,46,False,3.192814039868434,1.164029810829949,0.0,115.0,2.7649279523585686,1.020624783747321,0.0,116.0,2.1254662744037107,0.758685018341012,0.0,105.0,4.247321832157024,1.4486402846830528,0.0,116.0,4.037870979396731,1.3981910587985464,-1.0986122886681098,121.0,0.4439774543181221,0.1298179274912461,-1.0986122886681098,0.0,0.14340502708262792
ARB,2025-07-28 12:47:00+00:00,3.635469349785689,0.9704579766261401,60,73,32793.735783174314,133,1.293485122544375,1.0,0.0,0.0,0,0,1,12,47,False,3.6367914941865562,1.293847738321195,-1.0986122886681098,115.0,3.192814039868434,1.164029810829949,0.0,115.0,2.7649279523585686,1.020624783747321,0.0,116.0,2.1254662744037107,0.758685018341012,0.0,105.0,4.247321832157024,1.4486402846830528,0.0,116.0,-0.0013221444008673089,-0.0003626157768199523,1.0986122886681098,-1.0986122886681098,0.1298179274912461
ARB,2025-07-28 12:48:00+00:00,2.781313849873643,1.299887850432422,56,72,30397.535887945945,128,1.026512398921311,1.0,0.0,0.0,0,0,14,12,48,False,3.635469349785689,1.293485122544375,0.0,133.0,3.6367914941865562,1.293847738321195,-1.0986122886681098,115.0,3.192814039868434,1.164029810829949,0.0,115.0,2.7649279523585686,1.020624783747321,0.0,116.0,2.1254662744037107,0.758685018341012,0.0,105.0,-0.854155499912046,-0.2669727236230641,0.0,1.0986122886681098,-0.0003626157768199523
ARB,2025-07-28 12:50:00+00:00,2.4536612653919003,1.5852458927916453,45,58,31697.054820231482,103,0.9016485627598515,7.0,1.9459101490553132,0.9966777408637875,3,0,8,12,50,False,2.781313849873643,1.026512398921311,0.0,128.0,3.635469349785689,1.293485122544375,0.0,133.0,3.6367914941865562,1.293847738321195,-1.0986122886681098,115.0,3.192814039868434,1.164029810829949,0.0,115.0,2.7649279523585686,1.020624783747321,0.0,116.0,-0.3276525844817426,-0.12486383616145946,1.9459101490553132,0.0,-0.2669727236230641
